YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,"AVG_DEMOG_SCORE_ AGDU",PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGED/NON-DUAL,PERSON_YEARS_AGND
2019,ALABAMA,AUTAUGA,01,000,66615.39,0.97677,0.94507,53.42,8758.22,0.90843,0.90521,655.33,16055.85,0.9155,1.02613,137.83,9726.86,1.05045,1.02179,3215.42
2019,ALABAMA,BALDWIN,01,010,72292,0.94431,0.95559,126.33,9366.15,0.92127,0.91442,2154.83,17981.16,0.97365,1.00823,614.08,9899.62,1.00566,1.00041,19239.33
2019,ALABAMA,BARBOUR,01,020,64661.39,0.93739,1.03193,57.33,10061.38,0.93242,0.98116,530.58,15511.52,0.81522,1.03133,320.92,9818.08,0.97487,1.05267,1764.17
2019,ALABAMA,BIBB,01,030,89143.8,1.0008,1.03411,27.33,9815.18,0.91882,0.93488,457.58,14990.67,0.95945,1.02769,197.08,10135.25,1.09038,1.06182,1039.5
2019,ALABAMA,BLOUNT,01,040,75799.15,0.91494,0.98749,33.25,9104.65,0.86002,0.92033,728.17,16597.64,0.86805,1.01074,243.33,10851.68,1.04587,1.03099,3255.58
2019,ALABAMA,BULLOCK,01,050,63098.78,0.93336,1.06132,19,5330.79,0.89162,0.99915,159.92,12986.67,0.82471,1.05649,114.42,10095.21,1.03372,1.04456,389.58
2019,ALABAMA,BUTLER,01,060,70833.61,0.98832,1.001,49.33,10125.6,0.88456,1.03283,532.17,14906.89,0.85065,1.04517,321.33,10163.13,1.08076,1.09112,1418.58
2019,ALABAMA,CALHOUN,01,070,82278.39,0.9909,0.99482,151.75,9399.74,0.91252,0.98097,3048.42,15210.36,0.91525,1.01473,1009.42,10442.9,1.06831,1.04878,10174.75
2019,ALABAMA,CHAMBERS,01,080,83111.94,0.94555,1.03276,66.5,7940.08,0.88977,0.96027,1009.92,13405.17,0.94967,1.0393,523.33,9019.77,1.0787,1.12287,2574.75
2019,ALABAMA,CHEROKEE,01,090,72473.29,0.98839,0.96595,45,10054.04,0.92792,0.98019,710.83,17139.51,0.92483,1.00647,303.08,10836.2,1.06998,1.05115,2293.75
2019,ALABAMA,CHILTON,01,100,88337.3,0.90723,0.94325,28,12230.43,0.9534,0.93164,515.75,14167.84,0.88862,0.96734,168.17,11199.17,1.01627,1.01668,2144.33
2019,ALABAMA,CHOCTAW,01,110,83788.97,0.87132,1.02617,32.33,8590.45,0.78865,0.99474,644,13352.89,0.80031,1.00991,358,10493.19,0.99439,1.14221,1403.25
2019,ALABAMA,CLARKE,01,120,69264.16,0.96204,1.01815,42.25,8252.89,0.78315,0.93992,564.83,15775.57,0.83332,1.02045,255.75,10173.95,1.00783,1.08223,1672.5
2019,ALABAMA,CLAY,01,130,72622.71,0.97137,0.99539,15.17,8228.52,0.79554,0.94808,377.58,14674.38,0.89292,1.04328,218.08,8670.48,0.98296,1.08116,1221.67
2019,ALABAMA,CLEBURNE,01,140,104854.09,0.95235,0.97452,15,9288.6,0.91456,0.95649,412.58,21061.1,0.88405,1.038,205.83,9826.83,1.0193,1.06438,1408.5
2019,ALABAMA,COFFEE,01,150,68373.34,0.99287,1.0206,52,9370.55,0.94148,0.96037,920.58,13997.75,0.92407,1.04455,486.25,9969.7,1.04933,1.03533,4495.83
2019,ALABAMA,COLBERT,01,160,71077.6,0.98024,1.04279,70.75,10939.24,0.92216,0.99098,1409,17428.53,0.93376,1.02127,580.33,9811.14,1.02745,1.08037,5696.83
2019,ALABAMA,CONECUH,01,170,68870.12,0.90484,1.03787,29,8593.42,0.80569,0.99354,570.42,15004.67,0.83356,1.01785,300.5,10019.58,1.04859,1.13158,1103.17
2019,ALABAMA,COOSA,01,180,102939.27,0.96572,1.00311,15.83,8275.13,0.82804,0.94851,274,12711.6,0.76497,1.04464,87.92,10789.29,1.10906,1.10178,816.42
2019,ALABAMA,COVINGTON,01,190,97870.13,1.06665,1.05022,56.08,11212.75,1.02152,1.00928,1160.92,16286.91,0.95186,1.03224,736.17,10877.25,1.11364,1.09698,3765.17
2019,ALABAMA,CRENSHAW,01,200,74165.04,0.89722,1.02547,20.5,9218.76,0.91854,0.98318,265.17,12886.3,0.80268,1.03698,173.33,10558.24,1.05598,1.07769,877.92
2019,ALABAMA,CULLMAN,01,210,78621.47,0.93132,0.98065,61.33,10218.86,0.94134,0.95967,1417.33,16606.38,0.87492,1.00991,677.83,10089.03,1.02857,1.04341,7044.25
2019,ALABAMA,DALE,01,220,79781.95,1.01319,1.00129,45,10006.88,0.89898,0.96504,1055.25,14213.28,0.93306,1.03181,434.92,10342.6,1.06683,1.04264,3951.08
2019,ALABAMA,DALLAS,01,230,72703.9,0.94587,1.05355,132.58,7959.06,0.89947,1.02442,1036.5,14259.36,0.8974,1.01518,668.58,8853.53,1.02506,1.079,2034.08
2019,ALABAMA,DEKALB,01,240,81798.88,0.9778,1.01806,57.08,8884.85,0.85334,0.98072,1641.5,13466.22,0.89573,1.0118,885.17,9381.37,1.01538,1.05745,5513.92
2019,ALABAMA,ELMORE,01,250,72183.77,0.92692,0.96774,63.67,9469.56,0.83204,0.91157,993.83,16970.74,0.97675,1.03816,278,9554.84,1.01065,0.99742,5323.67
2019,ALABAMA,ESCAMBIA,01,260,78038.17,0.97356,1.04934,48.08,10176.57,0.93908,0.96158,771.83,18321.97,0.95059,1.04606,366.83,11699.64,1.08155,1.07911,2842.67
2019,ALABAMA,ETOWAH,01,270,72959.32,1.01522,1.01852,134.92,10663.77,0.97479,0.98263,2670.33,16794.82,1.00606,1.00638,999.75,11475.51,1.12037,1.0689,7055.08
2019,ALABAMA,FAYETTE,01,280,82615.81,1.00813,0.95721,16.33,9636.99,0.90916,0.97283,531.92,14091.28,0.98183,1.0285,289.83,9233.72,1.07346,1.09148,1439.33
2019,ALABAMA,FRANKLIN,01,290,74050.42,1.02058,0.98425,18.92,9412.31,0.89693,1.01235,852.83,16150.7,0.84918,1.0198,464.5,9605.03,1.00189,1.09357,2649.25
2019,ALABAMA,GENEVA,01,300,91089.63,0.99269,1.04336,20.58,9581.4,0.88538,0.97395,723.25,15082.09,0.92805,1.03411,402.58,9662.63,1.03392,1.07365,2493.42
2019,ALABAMA,GREENE,01,310,65978.75,0.93779,1.0585,24.92,8585.95,0.82076,1.00867,360.92,12559.66,0.83154,0.99143,224.75,9728.2,1.042,1.12708,532.08
2019,ALABAMA,HALE,01,320,76221.47,0.95104,1.07469,31.33,8215.88,0.85586,1.01515,806.67,15101.29,0.87866,1.02527,409.17,10229.97,1.03847,1.11897,1074.75
2019,ALABAMA,HENRY,01,330,84387.71,0.9693,1.0349,21.83,8464.21,0.84731,0.94124,359.83,13462.41,0.98174,1.04662,209,9156.92,0.97722,1.0253,1545.58
2019,ALABAMA,HOUSTON,01,340,74648.4,0.9531,1.00808,127.75,9779.03,0.9494,0.96877,1889.42,14494.14,0.91703,1.03118,939.08,10304.37,1.02238,1.05188,8425.83
2019,ALABAMA,JACKSON,01,350,78776.43,1.02554,0.98498,51.67,10160.04,0.96152,0.98094,1299.42,16056.06,0.95532,1.01208,582.5,9811.06,1.03589,1.04869,5219.08
