YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,"AVG_DEMOG_SCORE_ AGDU",PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGED/NON-DUAL,PERSON_YEARS_AGND
2021,ALABAMA,AUTAUGA,01,000,64629.39,0.95056,0.98561,34,8353.24,0.90859,0.90513,499.5,20900.1,0.91659,0.9954,103.83,9919.25,1.02206,1.02606,2888.75
2021,ALABAMA,BALDWIN,01,010,76155.49,0.9798,0.98994,102.83,9375.02,0.90453,0.90502,1708.83,19748.12,0.96333,1.00387,472.83,10286.2,0.99623,1.00642,18201.33
2021,ALABAMA,BARBOUR,01,020,69381.14,0.95509,0.98674,40.67,11865.67,0.98638,0.9804,338.42,15833.3,0.92127,1.0669,196.58,9518.15,0.98605,1.05846,1440
2021,ALABAMA,BIBB,01,030,104564.3,1.09098,1.0342,18.5,8936.28,0.87086,0.92038,302.92,15339.14,0.97457,1.02406,148.25,10048.11,1.10012,1.07682,939.67
2021,ALABAMA,BLOUNT,01,040,67497.19,0.92125,0.99569,22,9243.71,0.88726,0.90064,501.58,14896.08,0.89839,1.02831,192.92,10548.12,1.08417,1.04672,2837.08
2021,ALABAMA,BULLOCK,01,050,90720.44,0.8289,1.01753,17.58,7808.53,0.85912,1.01786,102.75,15019.14,0.77481,1.06742,91.75,9794.54,0.98336,1.02129,300.33
2021,ALABAMA,BUTLER,01,060,74974.51,1.03867,1.00996,26,9428.91,0.88307,1.00061,354,15441.25,0.90876,1.05144,228.58,10377.41,1.07755,1.09835,1228.25
2021,ALABAMA,CALHOUN,01,070,73692.16,0.98698,0.98751,114.17,9555.91,0.88668,0.95924,1997.75,15618.68,0.96495,1.0285,622.08,10410.71,1.09889,1.05246,8786.92
2021,ALABAMA,CHAMBERS,01,080,64850.75,0.89629,1.01905,50.17,8729.11,0.89124,0.96182,652.33,13948.3,0.90587,1.05044,328.33,10031.98,1.09633,1.12697,2026.58
2021,ALABAMA,CHEROKEE,01,090,85267.32,1.13155,0.98308,33.42,8741.27,0.86469,0.97243,587.58,14241.65,0.91957,1.01349,267.42,10071.05,1.06196,1.05104,2148.5
2021,ALABAMA,CHILTON,01,100,66371.84,0.96512,0.96721,24.17,10543.25,1.01961,0.91314,378.75,14459,0.97982,0.97682,132.67,11963.74,1.01293,1.03141,1793.67
2021,ALABAMA,CHOCTAW,01,110,69924.62,0.96732,1.01399,21.75,9500.63,0.82786,0.99584,387.25,16331.34,0.93987,1.03122,244.17,10959.72,1.03068,1.15197,1204.42
2021,ALABAMA,CLARKE,01,120,65953.24,0.9712,0.94043,25.67,8457.96,0.87313,0.9353,377.17,13773.94,0.86897,1.01735,155.92,10555.44,1.04859,1.09473,1357.17
2021,ALABAMA,CLAY,01,130,50452.21,0.82428,1.02988,10.42,9635.23,0.79909,0.91642,217.33,14824.15,0.85578,1.06026,154.08,8661.93,0.96128,1.09173,1008.08
2021,ALABAMA,CLEBURNE,01,140,112356.22,0.99414,1.00635,10.92,8600.62,0.85739,0.96513,280.58,15604.75,0.93977,1.04889,151.08,9962.95,1.04848,1.07483,1226.67
2021,ALABAMA,COFFEE,01,150,68981.59,0.96651,1.00567,36.58,9191.93,0.94347,0.94337,658.83,13164.29,0.97905,1.05948,326.92,9624.35,1.06204,1.03554,4038.58
2021,ALABAMA,COLBERT,01,160,86966.98,0.96538,1.01618,41.17,10270.65,1.0042,0.97704,892.92,15243.38,0.94739,1.02388,376.5,10200.22,1.03458,1.06989,4780.58
2021,ALABAMA,CONECUH,01,170,78926.58,0.90815,1.03759,16.92,7026,0.73843,0.97856,381.67,13832.69,0.81757,1.04212,212.75,10845.96,1.00407,1.13451,912.67
2021,ALABAMA,COOSA,01,180,101860,1.03109,0.9802,10.83,7449.7,0.74448,0.94104,161.83,14642.67,0.89308,1.04309,53.75,11335.99,1.10171,1.09378,701.83
2021,ALABAMA,COVINGTON,01,190,95058.14,1.05917,1.06721,30.83,11720.57,0.96578,0.99001,698.75,15807.51,0.95677,1.03364,491.83,9989.01,1.07072,1.09691,3267.58
